File Name,Question,Answer
oia-7339-nigel-parry.pdf,What is the NZTA planning in terms of road network changes to accommodate the increased traffic from the new Interislander ferries in Marlborough?,"NZTA is considering changes as part of the Marlborough Transport System improvements. A document titled ""Picton Transport Improvements Factsheet (October 2020)"" demonstrates some interventions under consideration. This factsheet is publicly available on NZTA's website: https://nzta.govt.nz/assets/projects/waitohi-picton-transport-network-improvements/picton-transport-improvements-factsheet-202010.pdf."
oia-7339-nigel-parry.pdf,When is the draft Strategic Case for Picton Port Access expected to be completed?,The draft Strategic Case for Picton Port Access is expected to be completed in the first half of 2021.
oia-12662-response-letter.pdf,What is the crash history for the SH2/SH53 intersection in Featherston over the past 10 years?,"According to the Crash Analysis System (CAS), there were seven non-injury crashes within 30 meters of the intersection in the past 10 years. One occurred in 2022, and two occurred in 2019. There were no fatal, serious, or minor injury crashes at this location within the last 10 years."
oia-12662-response-letter.pdf,Are there any future upgrades planned to address crash risks at the SH2/SH53 intersection?,"The speed limit in Featherston was reduced to 40 km/h on 27 January 2023. Additionally, five raised pedestrian crossings are planned for the area near the intersection, with three being improvements to existing crossings and two being new installations. One crossing near Daniell Street has already been completed, and another near the SH2/Lyon Street/Birdwood Street intersection is planned for completion this year."
oia-13817-response-letter.pdf,How many MR1 and MR1B transactions were completed online between 1 October 2022 and 30 September 2023?,"A total of 3,927,179 MR1 and MR1B transactions were completed online between 1 October 2022 and 30 September 2023, accounting for 71.45% of all transactions."
oia-13817-response-letter.pdf,What percentage of MR1 and MR1B transactions were completed through an agent between 1 October 2022 and 30 September 2023?,"A total of 1,569,140 MR1 and MR1B transactions were completed through an agent between 1 October 2022 and 30 September 2023, which represents 28.55% of all transactions."
oia-15599-response-letter-23-july-2024.pdf,What are the titles of the documents released in response to OIA request 15599 regarding advice provided in April 2024?,"The titles of the released documents are: 1. BRI-3010 (Road Efficiency Group) dated 4 April 2024, 2. MIN-4467 (GPS advice updates) dated 26 April 2024, and 3. MINO-990 (Safety camera installation update) dated 26 April 2024."
oia-15599-response-letter-23-july-2024.pdf,Under which sections of the Official Information Act was certain information withheld in the OIA-15599 response?,"Information was withheld under section 9(2)(a) to protect privacy, section 9(2)(ba)(i) to protect confidential information, and section 9(2)(f)(iv) to protect the confidentiality of advice tendered by Ministers of the Crown and officials."
oia-6967-matt-slaughter.pdf,How many road deaths in Christchurch between 2017 and 2019 were attributed to alcohol being a contributing factor?,"Between 2017 and 2019, a total of 9 road deaths in Christchurch were attributed to alcohol, with 2 deaths in 2017, 5 in 2018, and 2 in 2019 (though 2019 data is incomplete)."
oia-6967-matt-slaughter.pdf,How many crashes in Christchurch were alcohol-related between 2017 and 2019?,"From 2017 to 2019, there were 795 alcohol-related crashes in Christchurch, including 7 fatal crashes, 42 serious crashes, 205 minor crashes, and 541 non-injury crashes."
oia-12074-response-letter.pdf,When were the safety cameras in the Waterview Tunnel last calibrated for accuracy?,"The northbound cameras were last calibrated on 15 November 2022, and the southbound cameras were last calibrated on 16 November 2022."
oia-12074-response-letter.pdf,How many times have the safety cameras in the Waterview Tunnel been found faulty in the past 36 months?,There have been no faults found with the safety cameras in the Waterview Tunnel in the past 36 months.
oia-15584-response-letter.pdf,How are contractors paid to repair potholes on New Zealand highways?,"Pothole repairs are part of a larger lump sum item for cyclic repairs under the Network Outcomes Contract (NOC) delivery model. Contractors are not paid individually for each pothole repair, and determining specific costs would require significant time and resources to consult all contractors."
oia-15584-response-letter.pdf,"Does NZTA impose a quality assurance or performance clause for pothole repair work, and if so, where can it be found?","NZTA sets quality standards for pothole repairs through a Maintenance Management Plan, and contractors report on these standards quarterly. These maintenance specifications are available on the NZTA website: https://www.nzta.govt.nz/assets/resources/maint-specs-potholes/docs/maint-specs-potholes.pdf."
oia-1129-keijser.pdf,What were the safety failures identified in Go Wellington buses during the inspections in April and May 2013?,"The safety failures included issues such as windscreen washer not operating, rear exterior emergency exit signage being smaller than required, corrosion on headlight reflectors, loose support poles, broken seat brackets, engine oil leaks, and diesel fuel leaks among others."
oia-1129-keijser.pdf,How did NZ Bus Limited respond to the faults identified in the inspection of Go Wellington buses?,NZ Bus Limited took the findings seriously and instigated a full review of the maintenance and operation of their fleet. They worked proactively to meet safety targets and improve the overall safety of their operations.
oia-10323-zane-small.pdf,How many Clean Car rebates have been issued between 1 July 2021 and 31 May 2022?,"Waka Kotahi NZ Transport Agency has approved 19,662 applications for Clean Car rebates between 1 July 2021 and 31 May 2022."
oia-10323-zane-small.pdf,How much revenue has been collected from Clean Car penalties between 1 April and 31 May 2022?,"Waka Kotahi has received $14,351,037.50 in fees from high-emitting vehicles from 1 April to 31 May 2022."
oia-5672-Phil-Pennington.pdf,What was the total number of vacancies under active recruitment at NZTA as of 23 August 2019?,"As of 23 August 2019, the Transport Agency had 259 vacancies under active recruitment."
oia-5672-Phil-Pennington.pdf,"Were there any personal grievances or employment law processes underway with Charles Ronaldson, Giles Southwell, or Leigh Mitchell?","There were no personal grievances or employment law processes underway with Charles Ronaldson, Giles Southwell, or Leigh Mitchell."
